customerID,gender,SeniorCitizen,Partner,Dependents,tenure,PhoneService,MultipleLines,InternetService,OnlineSecurity,OnlineBackup,DeviceProtection,TechSupport,StreamingTV,StreamingMovies,Contract,PaperlessBilling,PaymentMethod,MonthlyCharges,TotalCharges,Churn,SeniorCitizenLabel,TenureBand,ChurnFlag,RevenueAtRisk,RiskTier,ExpectedTotal,ChargeDifference
8091-TTVAX,Male,0,Yes,No,58,Yes,Yes,Fiber optic,No,No,Yes,No,Yes,Yes,One year,No,Credit card (automatic),100.35,5681.1,No,Non-Senior,Loyal,0,0.0,Low Risk,5820.299999999999,-139.1999999999989
0280-XJGEX,Male,0,No,No,49,Yes,Yes,Fiber optic,No,Yes,Yes,No,Yes,Yes,Month-to-month,Yes,Bank transfer (automatic),103.7,5036.3,Yes,Non-Senior,Loyal,1,103.7,Low Risk,5081.3,-45.0
5129-JLPIS,Male,0,No,No,25,Yes,No,Fiber optic,Yes,No,Yes,Yes,Yes,Yes,Month-to-month,Yes,Electronic check,105.5,2686.05,No,Non-Senior,Established,0,0.0,Low Risk,2637.5,48.55000000000018
3655-SNQYZ,Female,0,Yes,Yes,69,Yes,Yes,Fiber optic,Yes,Yes,Yes,Yes,Yes,Yes,Two year,No,Credit card (automatic),113.25,7895.15,No,Non-Senior,Loyal,0,0.0,Low Risk,7814.25,80.89999999999964
8191-XWSZG,Female,0,No,No,52,Yes,No,No,No,No,No,No,No,No,One year,No,Mailed check,20.65,1022.95,No,Non-Senior,Loyal,0,0.0,Low Risk,1073.8,-50.84999999999991
9959-WOFKT,Male,0,No,Yes,71,Yes,Yes,Fiber optic,Yes,No,Yes,No,Yes,Yes,Two year,No,Bank transfer (automatic),106.7,7382.25,No,Non-Senior,Loyal,0,0.0,Low Risk,7575.7,-193.44999999999982
4190-MFLUW,Female,0,Yes,Yes,10,Yes,No,DSL,No,No,Yes,Yes,No,No,Month-to-month,No,Credit card (automatic),55.2,528.35,Yes,Non-Senior,New Customer,1,55.2,High Risk,552.0,-23.649999999999977
4183-MYFRB,Female,0,No,No,21,Yes,No,Fiber optic,No,Yes,Yes,No,No,Yes,Month-to-month,Yes,Electronic check,90.05,1862.9,No,Non-Senior,Early,0,0.0,Medium Risk,1891.05,-28.149999999999864
8779-QRDMV,Male,1,No,No,1,No,No,DSL,No,No,Yes,No,No,Yes,Month-to-month,Yes,Electronic check,39.65,39.65,Yes,Senior,New Customer,1,39.65,High Risk,39.65,0.0
1680-VDCWW,Male,0,Yes,No,12,Yes,No,No,No,No,No,No,No,No,One year,No,Bank transfer (automatic),19.8,202.25,No,Non-Senior,New Customer,0,0.0,Low Risk,237.60000000000002,-35.35000000000002
1066-JKSGK,Male,0,No,No,1,Yes,No,No,No,No,No,No,No,No,Month-to-month,No,Mailed check,20.15,20.15,Yes,Non-Senior,New Customer,1,20.15,High Risk,20.15,0.0
3638-WEABW,Female,0,Yes,No,58,Yes,Yes,DSL,No,Yes,No,Yes,No,No,Two year,Yes,Credit card (automatic),59.9,3505.1,No,Non-Senior,Loyal,0,0.0,Low Risk,3474.2,30.90000000000009
6322-HRPFA,Male,0,Yes,Yes,49,Yes,No,DSL,Yes,Yes,No,Yes,No,No,Month-to-month,No,Credit card (automatic),59.6,2970.3,No,Non-Senior,Loyal,0,0.0,Low Risk,2920.4,49.90000000000009
6865-JZNKO,Female,0,No,No,30,Yes,No,DSL,Yes,Yes,No,No,No,No,Month-to-month,Yes,Bank transfer (automatic),55.3,1530.6,No,Non-Senior,Established,0,0.0,Low Risk,1659.0,-128.4000000000001
6467-CHFZW,Male,0,Yes,Yes,47,Yes,Yes,Fiber optic,No,Yes,No,No,Yes,Yes,Month-to-month,Yes,Electronic check,99.35,4749.15,Yes,Non-Senior,Established,1,99.35,Low Risk,4669.45,79.69999999999982
8665-UTDHZ,Male,0,Yes,Yes,1,No,No,DSL,No,Yes,No,No,No,No,Month-to-month,No,Electronic check,30.2,30.2,Yes,Non-Senior,New Customer,1,30.2,High Risk,30.2,0.0
5248-YGIJN,Male,0,Yes,No,72,Yes,Yes,DSL,Yes,Yes,Yes,Yes,Yes,Yes,Two year,Yes,Credit card (automatic),90.25,6369.45,No,Non-Senior,Loyal,0,0.0,Low Risk,6498.0,-128.55000000000018
8773-HHUOZ,Female,0,No,Yes,17,Yes,No,DSL,No,No,No,No,Yes,Yes,Month-to-month,Yes,Mailed check,64.7,1093.1,Yes,Non-Senior,Early,1,64.7,Medium Risk,1099.9,-6.800000000000182
3841-NFECX,Female,1,Yes,No,71,Yes,Yes,Fiber optic,Yes,Yes,Yes,Yes,No,No,Two year,Yes,Credit card (automatic),96.35,6766.95,No,Senior,Loyal,0,0.0,Low Risk,6840.849999999999,-73.89999999999964
4929-XIHVW,Male,1,Yes,No,2,Yes,No,Fiber optic,No,No,Yes,No,Yes,Yes,Month-to-month,Yes,Credit card (automatic),95.5,181.65,No,Senior,New Customer,0,0.0,High Risk,191.0,-9.349999999999994
6827-IEAUQ,Female,0,Yes,Yes,27,Yes,No,DSL,Yes,Yes,Yes,Yes,No,No,One year,No,Mailed check,66.15,1874.45,No,Non-Senior,Established,0,0.0,Low Risk,1786.0500000000002,88.39999999999986
7310-EGVHZ,Male,0,No,No,1,Yes,No,No,No,No,No,No,No,No,Month-to-month,No,Bank transfer (automatic),20.2,20.2,No,Non-Senior,New Customer,0,0.0,High Risk,20.2,0.0
3413-BMNZE,Male,1,No,No,1,Yes,No,DSL,No,No,No,No,No,No,Month-to-month,No,Bank transfer (automatic),45.25,45.25,No,Senior,New Customer,0,0.0,High Risk,45.25,0.0
6234-RAAPL,Female,0,Yes,Yes,72,Yes,Yes,Fiber optic,Yes,Yes,No,Yes,Yes,No,Two year,No,Bank transfer (automatic),99.9,7251.7,No,Non-Senior,Loyal,0,0.0,Low Risk,7192.8,58.899999999999636
6047-YHPVI,Male,0,No,No,5,Yes,No,Fiber optic,No,No,No,No,No,No,Month-to-month,Yes,Electronic check,69.7,316.9,Yes,Non-Senior,New Customer,1,69.7,High Risk,348.5,-31.600000000000023
6572-ADKRS,Female,0,No,No,46,Yes,No,Fiber optic,No,No,Yes,No,No,No,Month-to-month,Yes,Credit card (automatic),74.8,3548.3,No,Non-Senior,Established,0,0.0,Low Risk,3440.7999999999997,107.50000000000045
5380-WJKOV,Male,0,No,No,34,Yes,Yes,Fiber optic,No,Yes,Yes,No,Yes,Yes,Month-to-month,Yes,Electronic check,106.35,3549.25,Yes,Non-Senior,Established,1,106.35,Low Risk,3615.8999999999996,-66.64999999999964
8168-UQWWF,Female,0,No,No,11,Yes,Yes,Fiber optic,No,No,Yes,No,Yes,Yes,Month-to-month,Yes,Bank transfer (automatic),97.85,1105.4,Yes,Non-Senior,New Customer,1,97.85,High Risk,1076.35,29.050000000000182
8865-TNMNX,Male,0,Yes,Yes,10,Yes,No,DSL,No,Yes,No,No,No,No,One year,No,Mailed check,49.55,475.7,No,Non-Senior,New Customer,0,0.0,Low Risk,495.5,-19.80000000000001
9489-DEDVP,Female,0,Yes,Yes,70,Yes,Yes,DSL,Yes,Yes,No,No,Yes,No,Two year,Yes,Credit card (automatic),69.2,4872.35,No,Non-Senior,Loyal,0,0.0,Low Risk,4844.0,28.350000000000364
9867-JCZSP,Female,0,Yes,Yes,17,Yes,No,No,No,No,No,No,No,No,One year,No,Mailed check,20.75,418.25,No,Non-Senior,Early,0,0.0,Low Risk,352.75,65.5
4671-VJLCL,Female,0,No,No,63,Yes,Yes,DSL,Yes,Yes,Yes,Yes,Yes,No,Two year,Yes,Credit card (automatic),79.85,4861.45,No,Non-Senior,Loyal,0,0.0,Low Risk,5030.549999999999,-169.09999999999945
4080-IIARD,Female,0,Yes,No,13,Yes,Yes,DSL,Yes,Yes,No,Yes,Yes,No,Month-to-month,Yes,Electronic check,76.2,981.45,No,Non-Senior,Early,0,0.0,Medium Risk,990.6,-9.149999999999977
3714-NTNFO,Female,0,No,No,49,Yes,Yes,Fiber optic,No,No,No,No,No,Yes,Month-to-month,Yes,Electronic check,84.5,3906.7,No,Non-Senior,Loyal,0,0.0,Low Risk,4140.5,-233.80000000000018
5948-UJZLF,Male,0,No,No,2,Yes,No,DSL,No,Yes,No,No,No,No,Month-to-month,No,Mailed check,49.25,97.0,No,Non-Senior,New Customer,0,0.0,High Risk,98.5,-1.5
7760-OYPDY,Female,0,No,No,2,Yes,No,Fiber optic,No,No,No,No,Yes,No,Month-to-month,Yes,Electronic check,80.65,144.15,Yes,Non-Senior,New Customer,1,80.65,High Risk,161.3,-17.150000000000006
7639-LIAYI,Male,0,No,No,52,Yes,Yes,DSL,Yes,No,No,Yes,Yes,Yes,Two year,Yes,Credit card (automatic),79.75,4217.8,No,Non-Senior,Loyal,0,0.0,Low Risk,4147.0,70.80000000000018
2954-PIBKO,Female,0,Yes,Yes,69,Yes,Yes,DSL,Yes,No,Yes,Yes,No,No,Two year,Yes,Credit card (automatic),64.15,4254.1,No,Non-Senior,Loyal,0,0.0,Low Risk,4426.35,-172.25
8012-SOUDQ,Female,1,No,No,43,Yes,Yes,Fiber optic,No,Yes,No,No,Yes,No,Month-to-month,Yes,Electronic check,90.25,3838.75,No,Senior,Established,0,0.0,Low Risk,3880.75,-42.0
9420-LOJKX,Female,0,No,No,15,Yes,No,Fiber optic,Yes,Yes,No,No,Yes,Yes,Month-to-month,Yes,Credit card (automatic),99.1,1426.4,Yes,Non-Senior,Early,1,99.1,Medium Risk,1486.5,-60.09999999999991
6575-SUVOI,Female,1,Yes,No,25,Yes,Yes,DSL,Yes,No,No,Yes,Yes,No,Month-to-month,Yes,Credit card (automatic),69.5,1752.65,No,Senior,Established,0,0.0,Low Risk,1737.5,15.150000000000091
7495-OOKFY,Female,1,Yes,No,8,Yes,Yes,Fiber optic,No,Yes,No,No,No,No,Month-to-month,Yes,Credit card (automatic),80.65,633.3,Yes,Senior,New Customer,1,80.65,High Risk,645.2,-11.900000000000091
4667-QONEA,Female,1,Yes,Yes,60,Yes,No,DSL,Yes,Yes,Yes,Yes,No,Yes,One year,Yes,Credit card (automatic),74.85,4456.35,No,Senior,Loyal,0,0.0,Low Risk,4491.0,-34.649999999999636
1658-BYGOY,Male,1,No,No,18,Yes,Yes,Fiber optic,No,No,No,No,Yes,Yes,Month-to-month,Yes,Electronic check,95.45,1752.55,Yes,Senior,Early,1,95.45,Medium Risk,1718.1000000000001,34.44999999999982
8769-KKTPH,Female,0,Yes,Yes,63,Yes,Yes,Fiber optic,Yes,No,No,No,Yes,Yes,One year,Yes,Credit card (automatic),99.65,6311.2,No,Non-Senior,Loyal,0,0.0,Low Risk,6277.950000000001,33.24999999999909
5067-XJQFU,Male,1,Yes,Yes,66,Yes,Yes,Fiber optic,No,Yes,Yes,Yes,Yes,Yes,One year,Yes,Electronic check,108.45,7076.35,No,Senior,Loyal,0,0.0,Low Risk,7157.7,-81.34999999999945
3957-SQXML,Female,0,Yes,Yes,34,Yes,Yes,No,No,No,No,No,No,No,Two year,No,Credit card (automatic),24.95,894.3,No,Non-Senior,Established,0,0.0,Low Risk,848.3,46.0
5954-BDFSG,Female,0,No,No,72,Yes,Yes,Fiber optic,No,No,Yes,Yes,Yes,Yes,Two year,Yes,Credit card (automatic),107.5,7853.7,No,Non-Senior,Loyal,0,0.0,Low Risk,7740.0,113.69999999999982
0434-CSFON,Female,0,Yes,No,47,Yes,Yes,Fiber optic,No,No,Yes,No,Yes,Yes,Month-to-month,Yes,Electronic check,100.5,4707.1,No,Non-Senior,Established,0,0.0,Low Risk,4723.5,-16.399999999999636
1215-FIGMP,Male,0,No,No,60,Yes,Yes,Fiber optic,No,Yes,No,No,Yes,No,Month-to-month,Yes,Bank transfer (automatic),89.9,5450.7,No,Non-Senior,Loyal,0,0.0,Low Risk,5394.0,56.69999999999982
0526-SXDJP,Male,0,Yes,No,72,No,No,DSL,Yes,Yes,Yes,No,No,No,Two year,No,Bank transfer (automatic),42.1,2962.0,No,Non-Senior,Loyal,0,0.0,Low Risk,3031.2000000000003,-69.20000000000027
0557-ASKVU,Female,0,Yes,Yes,18,Yes,No,DSL,No,No,Yes,Yes,No,No,One year,Yes,Credit card (automatic),54.4,957.1,No,Non-Senior,Early,0,0.0,Low Risk,979.1999999999999,-22.09999999999991
5698-BQJOH,Female,0,No,No,9,Yes,Yes,Fiber optic,No,No,No,No,Yes,Yes,Month-to-month,No,Electronic check,94.4,857.25,Yes,Non-Senior,New Customer,1,94.4,High Risk,849.6,7.649999999999977
5122-CYFXA,Female,0,No,No,3,Yes,No,DSL,No,Yes,No,Yes,Yes,Yes,Month-to-month,Yes,Electronic check,75.3,244.1,No,Non-Senior,New Customer,0,0.0,High Risk,225.89999999999998,18.200000000000017
8627-ZYGSZ,Male,0,Yes,No,47,Yes,Yes,Fiber optic,No,Yes,No,No,No,No,One year,Yes,Electronic check,78.9,3650.35,No,Non-Senior,Established,0,0.0,Low Risk,3708.3,-57.95000000000027
3410-YOQBQ,Female,0,No,No,31,Yes,No,DSL,No,Yes,Yes,Yes,Yes,Yes,Two year,No,Mailed check,79.2,2497.2,No,Non-Senior,Established,0,0.0,Low Risk,2455.2000000000003,41.999999999999545
3170-NMYVV,Female,0,Yes,Yes,50,Yes,No,No,No,No,No,No,No,No,Two year,No,Bank transfer (automatic),20.15,930.9,No,Non-Senior,Loyal,0,0.0,Low Risk,1007.4999999999999,-76.59999999999991
7410-OIEDU,Male,0,No,No,10,Yes,No,Fiber optic,Yes,No,Yes,No,No,No,Month-to-month,Yes,Mailed check,79.85,887.35,No,Non-Senior,New Customer,0,0.0,High Risk,798.5,88.85000000000002
2273-QCKXA,Male,0,No,No,1,Yes,No,DSL,No,No,No,Yes,No,No,Month-to-month,No,Mailed check,49.05,49.05,No,Non-Senior,New Customer,0,0.0,High Risk,49.05,0.0
0731-EBJQB,Female,0,Yes,Yes,52,Yes,No,No,No,No,No,No,No,No,One year,Yes,Electronic check,20.4,1090.65,No,Non-Senior,Loyal,0,0.0,Low Risk,1060.8,29.850000000000136
1891-QRQSA,Male,1,Yes,Yes,64,Yes,Yes,Fiber optic,Yes,No,Yes,Yes,Yes,Yes,Two year,Yes,Bank transfer (automatic),111.6,7099.0,No,Senior,Loyal,0,0.0,Low Risk,7142.4,-43.399999999999636
8028-PNXHQ,Male,0,Yes,Yes,62,Yes,Yes,No,No,No,No,No,No,No,Two year,Yes,Bank transfer (automatic),24.25,1424.6,No,Non-Senior,Loyal,0,0.0,Low Risk,1503.5,-78.90000000000009
5630-AHZIL,Female,0,No,Yes,3,Yes,No,DSL,Yes,No,No,Yes,No,Yes,Month-to-month,Yes,Bank transfer (automatic),64.5,177.4,No,Non-Senior,New Customer,0,0.0,High Risk,193.5,-16.099999999999994
2673-CXQEU,Female,1,No,No,56,Yes,Yes,Fiber optic,Yes,Yes,Yes,No,Yes,Yes,One year,No,Electronic check,110.5,6139.5,No,Senior,Loyal,0,0.0,Low Risk,6188.0,-48.5
6416-JNVRK,Female,0,No,No,46,Yes,No,DSL,No,No,No,No,No,Yes,One year,No,Credit card (automatic),55.65,2688.85,No,Non-Senior,Established,0,0.0,Low Risk,2559.9,128.94999999999982
5590-ZSKRV,Female,0,Yes,Yes,8,Yes,No,DSL,Yes,Yes,No,No,No,No,Month-to-month,No,Mailed check,54.65,482.25,No,Non-Senior,New Customer,0,0.0,High Risk,437.2,45.05000000000001
0191-ZHSKZ,Male,1,No,No,30,Yes,No,DSL,Yes,Yes,No,No,Yes,Yes,Month-to-month,Yes,Electronic check,74.75,2111.3,No,Senior,Established,0,0.0,Low Risk,2242.5,-131.19999999999982
3887-PBQAO,Female,0,Yes,Yes,45,Yes,Yes,No,No,No,No,No,No,No,One year,Yes,Credit card (automatic),25.9,1216.6,No,Non-Senior,Established,0,0.0,Low Risk,1165.5,51.09999999999991
5919-TMRGD,Female,0,No,Yes,1,Yes,No,Fiber optic,No,No,No,No,Yes,No,Month-to-month,Yes,Electronic check,79.35,79.35,Yes,Non-Senior,New Customer,1,79.35,High Risk,79.35,0.0
8108-UXRQN,Female,0,Yes,Yes,11,No,No,DSL,Yes,No,No,No,Yes,Yes,Month-to-month,No,Electronic check,50.55,565.35,No,Non-Senior,New Customer,0,0.0,High Risk,556.05,9.300000000000068
9191-MYQKX,Female,0,Yes,No,7,Yes,No,Fiber optic,No,No,Yes,No,No,No,Month-to-month,Yes,Bank transfer (automatic),75.15,496.9,Yes,Non-Senior,New Customer,1,75.15,High Risk,526.0500000000001,-29.15000000000009
9919-YLNNG,Female,0,No,No,42,Yes,No,Fiber optic,No,Yes,Yes,Yes,Yes,Yes,Month-to-month,Yes,Bank transfer (automatic),103.8,4327.5,No,Non-Senior,Established,0,0.0,Low Risk,4359.599999999999,-32.099999999999454
0318-ZOPWS,Female,0,Yes,No,49,Yes,No,No,No,No,No,No,No,No,Two year,Yes,Bank transfer (automatic),20.15,973.35,No,Non-Senior,Loyal,0,0.0,Low Risk,987.3499999999999,-13.999999999999886
4445-ZJNMU,Male,0,No,No,9,Yes,Yes,Fiber optic,No,Yes,No,No,Yes,Yes,Month-to-month,Yes,Credit card (automatic),99.3,918.75,No,Non-Senior,New Customer,0,0.0,High Risk,893.6999999999999,25.050000000000068
4808-YNLEU,Female,0,Yes,No,35,Yes,No,DSL,Yes,No,No,No,Yes,No,One year,Yes,Bank transfer (automatic),62.15,2215.45,No,Non-Senior,Established,0,0.0,Low Risk,2175.25,40.19999999999982
1862-QRWPE,Female,0,Yes,Yes,48,Yes,No,No,No,No,No,No,No,No,Two year,No,Bank transfer (automatic),20.65,1057.0,No,Non-Senior,Established,0,0.0,Low Risk,991.1999999999999,65.80000000000007
2796-NNUFI,Female,0,Yes,Yes,46,Yes,No,No,No,No,No,No,No,No,Two year,Yes,Mailed check,19.95,927.1,No,Non-Senior,Established,0,0.0,Low Risk,917.6999999999999,9.400000000000091
3016-KSVCP,Male,0,Yes,No,29,No,No,DSL,No,No,No,No,Yes,No,Month-to-month,No,Mailed check,33.75,1009.25,No,Non-Senior,Established,0,0.0,Low Risk,978.75,30.5
4767-HZZHQ,Male,0,Yes,Yes,30,Yes,No,Fiber optic,No,Yes,Yes,No,No,No,Month-to-month,No,Bank transfer (automatic),82.05,2570.2,No,Non-Senior,Established,0,0.0,Low Risk,2461.5,108.69999999999982
2424-WVHPL,Male,1,No,No,1,Yes,No,Fiber optic,No,No,No,Yes,No,No,Month-to-month,No,Electronic check,74.7,74.7,No,Senior,New Customer,0,0.0,High Risk,74.7,0.0
7233-PAHHL,Male,0,Yes,Yes,66,Yes,Yes,DSL,Yes,No,Yes,Yes,Yes,Yes,Two year,Yes,Mailed check,84.0,5714.25,No,Non-Senior,Loyal,0,0.0,Low Risk,5544.0,170.25
6067-NGCEU,Female,0,No,No,65,Yes,Yes,Fiber optic,Yes,Yes,Yes,No,Yes,Yes,Month-to-month,Yes,Credit card (automatic),111.05,7107.0,No,Non-Senior,Loyal,0,0.0,Low Risk,7218.25,-111.25
9848-JQJTX,Male,0,No,No,72,Yes,Yes,Fiber optic,No,Yes,Yes,No,Yes,Yes,Two year,Yes,Bank transfer (automatic),100.9,7459.05,No,Non-Senior,Loyal,0,0.0,Low Risk,7264.8,194.25
8637-XJIVR,Female,0,No,No,12,Yes,Yes,Fiber optic,Yes,No,No,No,No,No,Month-to-month,Yes,Electronic check,78.95,927.35,Yes,Non-Senior,New Customer,1,78.95,Medium Risk,947.4000000000001,-20.050000000000068
9803-FTJCG,Male,0,Yes,Yes,71,Yes,Yes,DSL,Yes,Yes,No,Yes,No,No,One year,Yes,Credit card (automatic),66.85,4748.7,No,Non-Senior,Loyal,0,0.0,Low Risk,4746.349999999999,2.350000000000364
0278-YXOOG,Male,0,No,No,5,Yes,No,No,No,No,No,No,No,No,Month-to-month,No,Mailed check,21.05,113.85,Yes,Non-Senior,New Customer,1,21.05,High Risk,105.25,8.599999999999994
3212-KXOCR,Male,0,No,No,52,Yes,No,No,No,No,No,No,No,No,Two year,No,Bank transfer (automatic),21.0,1107.2,No,Non-Senior,Loyal,0,0.0,Low Risk,1092.0,15.200000000000045
4598-XLKNJ,Female,1,Yes,No,25,Yes,No,Fiber optic,No,Yes,Yes,No,Yes,Yes,Month-to-month,Yes,Electronic check,98.5,2514.5,Yes,Senior,Established,1,98.5,Low Risk,2462.5,52.0
6380-ARCEH,Male,0,No,No,1,Yes,No,No,No,No,No,No,No,No,Month-to-month,No,Mailed check,20.2,20.2,No,Non-Senior,New Customer,0,0.0,High Risk,20.2,0.0
3679-XASPY,Female,0,Yes,Yes,1,Yes,No,No,No,No,No,No,No,No,Month-to-month,No,Electronic check,19.45,19.45,No,Non-Senior,New Customer,0,0.0,High Risk,19.45,0.0
7123-WQUHX,Male,0,No,No,38,Yes,Yes,Fiber optic,No,No,Yes,Yes,Yes,No,One year,No,Bank transfer (automatic),95.0,3605.6,No,Non-Senior,Established,0,0.0,Low Risk,3610.0,-4.400000000000091
5386-THSLQ,Female,1,Yes,No,66,No,No,DSL,No,Yes,Yes,No,Yes,No,One year,No,Bank transfer (automatic),45.55,3027.25,No,Senior,Loyal,0,0.0,Low Risk,3006.2999999999997,20.950000000000273
3192-NQECA,Male,0,Yes,No,68,Yes,Yes,Fiber optic,No,Yes,Yes,Yes,Yes,Yes,Two year,Yes,Bank transfer (automatic),110.0,7611.85,Yes,Non-Senior,Loyal,1,110.0,Low Risk,7480.0,131.85000000000036
6180-YBIQI,Male,0,No,No,5,No,No,DSL,No,No,No,No,No,No,Month-to-month,No,Mailed check,24.3,100.2,No,Non-Senior,New Customer,0,0.0,High Risk,121.5,-21.299999999999997
6728-DKUCO,Female,0,Yes,Yes,72,Yes,Yes,Fiber optic,Yes,Yes,No,No,Yes,Yes,One year,Yes,Electronic check,104.15,7303.05,No,Non-Senior,Loyal,0,0.0,Low Risk,7498.8,-195.75
9750-BOOHV,Female,0,No,No,32,No,No,DSL,Yes,No,No,No,No,No,One year,No,Mailed check,30.15,927.65,No,Non-Senior,Established,0,0.0,Low Risk,964.8,-37.14999999999998
8597-CWYHH,Male,0,No,No,43,Yes,Yes,Fiber optic,No,No,No,No,Yes,Yes,One year,No,Mailed check,94.35,3921.3,No,Non-Senior,Established,0,0.0,Low Risk,4057.0499999999997,-135.74999999999955
2848-YXSMW,Male,0,Yes,Yes,72,Yes,No,No,No,No,No,No,No,No,Two year,No,Credit card (automatic),19.4,1363.25,No,Non-Senior,Loyal,0,0.0,Low Risk,1396.8,-33.549999999999955
0486-HECZI,Male,0,Yes,No,55,Yes,Yes,Fiber optic,Yes,Yes,No,No,Yes,No,Month-to-month,Yes,Electronic check,96.75,5238.9,Yes,Non-Senior,Loyal,1,96.75,Low Risk,5321.25,-82.35000000000036
4549-ZDQYY,Female,0,No,No,52,Yes,No,DSL,Yes,No,Yes,Yes,No,No,One year,No,Credit card (automatic),57.95,3042.25,No,Non-Senior,Loyal,0,0.0,Low Risk,3013.4,28.84999999999991
5712-AHQNN,Female,0,No,No,43,Yes,No,Fiber optic,No,Yes,Yes,No,Yes,No,Month-to-month,Yes,Electronic check,91.65,3954.1,No,Non-Senior,Established,0,0.0,Low Risk,3940.9500000000003,13.149999999999636
4846-WHAFZ,Female,1,Yes,No,37,Yes,Yes,Fiber optic,No,No,No,No,No,No,Month-to-month,Yes,Electronic check,76.5,2868.15,Yes,Senior,Established,1,76.5,Low Risk,2830.5,37.65000000000009
5256-SKJGO,Female,0,Yes,Yes,64,No,No,DSL,No,Yes,No,Yes,Yes,Yes,Two year,Yes,Electronic check,54.6,3423.5,No,Non-Senior,Loyal,0,0.0,Low Risk,3494.4,-70.90000000000009
3071-VBYPO,Male,0,Yes,Yes,3,Yes,No,Fiber optic,Yes,Yes,No,No,Yes,No,Month-to-month,No,Electronic check,89.85,248.4,No,Non-Senior,New Customer,0,0.0,High Risk,269.54999999999995,-21.14999999999995
9560-BBZXK,Female,0,No,No,36,No,No,DSL,Yes,No,No,No,No,No,Two year,No,Bank transfer (automatic),31.05,1126.35,No,Non-Senior,Established,0,0.0,Low Risk,1117.8,8.549999999999955
5299-RULOA,Female,0,Yes,Yes,10,Yes,Yes,Fiber optic,Yes,No,No,No,Yes,Yes,Month-to-month,Yes,Electronic check,100.25,1064.65,Yes,Non-Senior,New Customer,1,100.25,High Risk,1002.5,62.15000000000009
8402-OOOHJ,Female,0,No,No,41,Yes,No,No,No,No,No,No,No,No,Two year,No,Mailed check,20.65,835.15,No,Non-Senior,Established,0,0.0,Low Risk,846.65,-11.5
9445-ZUEQE,Male,0,Yes,Yes,27,Yes,Yes,Fiber optic,No,Yes,No,Yes,No,No,Month-to-month,Yes,Credit card (automatic),85.2,2151.6,No,Non-Senior,Established,0,0.0,Low Risk,2300.4,-148.80000000000018
